Tipo Hash,Ação,Tamanho Vetor,Tamanho Seed,Número de Comparações,Tempo(ms)
Multiplicação,Busca,1000,1 milhão,5051,1
Multiplicação,Busca,1000,5 milhões,9372,1
Multiplicação,Busca,1000,20 milhões,4216,1
Multiplicação,Busca,10000,1 milhão,512,0
Multiplicação,Busca,10000,5 milhões,877,0
Multiplicação,Busca,10000,20 milhões,411,0
Multiplicação,Busca,100000,1 milhão,50,0
Multiplicação,Busca,100000,5 milhões,99,0
Multiplicação,Busca,100000,20 milhões,59,0
HashMod,Busca,1000,1 milhão,8,0
Multiplicação,Busca,1000,1 milhão,5051,2
Multiplicação,Busca,1000,5 milhões,9372,2
Multiplicação,Busca,1000,20 milhões,4216,0
Multiplicação,Busca,10000,1 milhão,512,0
Multiplicação,Busca,10000,5 milhões,877,0
Multiplicação,Busca,10000,20 milhões,411,0
Multiplicação,Busca,100000,1 milhão,50,0
Multiplicação,Busca,100000,5 milhões,99,1
Multiplicação,Busca,100000,20 milhões,59,0
HashMod,Busca,1000,1 milhão,8,0
Multiplicação,Busca,1000,1 milhão,5051,0
Multiplicação,Busca,1000,5 milhões,9372,1
Multiplicação,Busca,1000,20 milhões,4216,0
Multiplicação,Busca,10000,1 milhão,512,0
Multiplicação,Busca,10000,5 milhões,877,0
Multiplicação,Busca,10000,20 milhões,411,0
Multiplicação,Busca,100000,1 milhão,50,0
Multiplicação,Busca,100000,5 milhões,99,0
Multiplicação,Busca,100000,20 milhões,59,0
HashMod,Busca,1000,1 milhão,8,0
HashMod,Busca,1000,5 milhões,3212,1
HashMod,Busca,1000,20 milhões,6783,1
HashMod,Busca,10000,1 milhão,5,0
HashMod,Busca,10000,5 milhões,462,0
HashMod,Busca,10000,20 milhões,482,0
HashMod,Busca,100000,1 milhão,5,0
HashMod,Busca,100000,5 milhões,72,0
HashMod,Busca,100000,20 milhões,68,0
HashFolding,Busca,1000,1 milhão,9,0
HashFolding,Busca,1000,5 milhões,15514,0
HashFolding,Busca,1000,20 milhões,5743,0
HashFolding,Busca,10000,1 milhão,9,0
HashFolding,Busca,10000,5 milhões,8971,0
HashFolding,Busca,10000,20 milhões,3449,0
HashFolding,Busca,100000,1 milhão,9,0
