Tipo Hash,Ação,Tamanho Vetor,Tamanho Seed,Tempo(ms)
Multiplicação,Inserção,1000,1 milhão,16
Multiplicação,Inserção,1000,5 milhões,129
Multiplicação,Inserção,1000,20 milhões,14
Multiplicação,Inserção,10000,1 milhão,9
Multiplicação,Inserção,10000,5 milhões,120
Multiplicação,Inserção,10000,20 milhões,18
Multiplicação,Inserção,100000,1 milhão,11
Multiplicação,Inserção,100000,5 milhões,48
Multiplicação,Inserção,100000,20 milhões,31
HashMod,Inserção,1000,1 milhão,3995
Multiplicação,Inserção,1000,1 milhão,22
Multiplicação,Inserção,1000,5 milhões,158
Multiplicação,Inserção,1000,20 milhões,18
Multiplicação,Inserção,10000,1 milhão,10
Multiplicação,Inserção,10000,5 milhões,133
Multiplicação,Inserção,10000,20 milhões,18
Multiplicação,Inserção,100000,1 milhão,11
Multiplicação,Inserção,100000,5 milhões,56
Multiplicação,Inserção,100000,20 milhões,78
HashMod,Inserção,1000,1 milhão,6015
Multiplicação,Inserção,1000,1 milhão,47
Multiplicação,Inserção,1000,5 milhões,95
Multiplicação,Inserção,1000,20 milhões,55
Multiplicação,Inserção,10000,1 milhão,9
Multiplicação,Inserção,10000,5 milhões,44
Multiplicação,Inserção,10000,20 milhões,18
Multiplicação,Inserção,100000,1 milhão,17
Multiplicação,Inserção,100000,5 milhões,81
Multiplicação,Inserção,100000,20 milhões,35
HashMod,Inserção,1000,1 milhão,5628
HashMod,Inserção,1000,5 milhões,184927
HashMod,Inserção,1000,20 milhões,29451
HashMod,Inserção,10000,1 milhão,495
HashMod,Inserção,10000,5 milhões,26444
HashMod,Inserção,10000,20 milhões,3133
HashMod,Inserção,100000,1 milhão,75
HashMod,Inserção,100000,5 milhões,2306
HashMod,Inserção,100000,20 milhões,363
HashFolding,Inserção,1000,1 milhão,15303
HashFolding,Inserção,1000,5 milhões,182072
HashFolding,Inserção,1000,20 milhões,58897
HashFolding,Inserção,10000,1 milhão,14720
HashFolding,Inserção,10000,5 milhões,112110
HashFolding,Inserção,10000,20 milhões,31844
HashFolding,Inserção,100000,1 milhão,13038
